Full Name,Weight,Matchup,Outcome,Method,Round,Time
Tom Aaron,WEIGHT: 155 lbs.,,,,,
Tom Aaron,WEIGHT: 155 lbs.,"Tom Aaron
 
 Matt Ricehouse",LOSS,U-DEC,3,5:00
Tom Aaron,WEIGHT: 155 lbs.,"Tom Aaron
 
 Eric Steenberg",WIN,SUB,1,0:56
Danny Abbadi,WEIGHT: 155 lbs.,,,,,
Danny Abbadi,WEIGHT: 155 lbs.,"Danny Abbadi
 
 Jorge Gurgel",LOSS,S-DEC,3,5:00
Danny Abbadi,WEIGHT: 155 lbs.,"Danny Abbadi
 
 Kalib Starnes",LOSS,SUB,1,2:56
Nariman Abbasov,WEIGHT: 155 lbs.,,,,,
Nariman Abbasov,WEIGHT: 155 lbs.,"Nariman Abbasov
 
 Ismael Bonfim",LOSS,U-DEC,3,5:00
David Abbott,WEIGHT: 265 lbs.,,,,,
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Kevin Ferguson",LOSS,KO/TKO,1,0:43
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Paul Buentello",LOSS,KO/TKO,1,0:43
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Hidehiko Yoshida",LOSS,SUB,1,7:40
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Wesley Correira",LOSS,KO/TKO,1,2:14
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Kimo Leopoldo",LOSS,SUB,1,1:59
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Frank Mir",LOSS,SUB,1,0:46
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Pedro Rizzo",LOSS,KO/TKO,1,8:07
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Hugo Duarte",WIN,KO/TKO,1,0:43
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Yoji Anjo",WIN,U-DEC,2,3:00
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Maurice Smith",LOSS,SUB,1,8:08
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Vitor Belfort",LOSS,KO/TKO,1,0:52
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Don Frye",LOSS,SUB,1,1:22
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Steve Nelmark",WIN,KO/TKO,1,1:03
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Cal Worsham",WIN,KO/TKO,1,2:51
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Scott Ferrozzo",LOSS,U-DEC,2,3:00
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Sam Adkins",WIN,SUB,1,2:06
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Dan Severn",LOSS,U-DEC,1,18:00
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Steve Jennum",WIN,SUB,1,1:14
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Oleg Taktarov",LOSS,SUB,1,17:45
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 Paul Varelans",WIN,KO/TKO,1,1:53
David Abbott,WEIGHT: 265 lbs.,"David Abbott
 
 John Matua",WIN,KO/TKO,1,0:20
Hamdy Abdelwahab,WEIGHT: 264 lbs.,,,,,
Hamdy Abdelwahab,WEIGHT: 264 lbs.,"Hamdy Abdelwahab
 
 Don'Tale Mayes",NC,Overturned,3,5:00
Shamil Abdurakhimov,WEIGHT: 235 lbs.,,,,,
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Jailton Almeida",LOSS,KO/TKO,2,2:56
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Sergei Pavlovich",LOSS,KO/TKO,1,4:03
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Chris Daukaus",LOSS,KO/TKO,2,1:23
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Curtis Blaydes",LOSS,KO/TKO,2,2:22
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Marcin Tybura",WIN,KO/TKO,2,3:15
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Andrei Arlovski",WIN,U-DEC,3,5:00
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Chase Sherman",WIN,KO/TKO,1,1:24
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Derrick Lewis",LOSS,KO/TKO,4,3:42
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Walt Harris",WIN,S-DEC,3,5:00
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Anthony Hamilton",WIN,U-DEC,3,5:00
Shamil Abdurakhimov,WEIGHT: 235 lbs.,"Shamil Abdurakhimov
 
 Timothy Johnson",LOSS,KO/TKO,1,4:57
Hiroyuki Abe,WEIGHT: 145 lbs.,,,,,
Hiroyuki Abe,WEIGHT: 145 lbs.,"Hiroyuki Abe
 
 Naoki Matsushita",DRAW,Other,2,5:00
Hiroyuki Abe,WEIGHT: 145 lbs.,"Hiroyuki Abe
 
 Luiz Firmino",LOSS,SUB,1,2:52
Daichi Abe,WEIGHT: 170 lbs.,,,,,
Daichi Abe,WEIGHT: 170 lbs.,"Daichi Abe
 
 Li Jingliang",LOSS,U-DEC,3,5:00
Daichi Abe,WEIGHT: 170 lbs.,"Daichi Abe
 
 Luke Jumeau",LOSS,U-DEC,3,5:00
Daichi Abe,WEIGHT: 170 lbs.,"Daichi Abe
 
 Hyun Gyu Lim",WIN,U-DEC,3,5:00
Papy Abedi,WEIGHT: 185 lbs.,,,,,
Papy Abedi,WEIGHT: 185 lbs.,"Papy Abedi
 
 Dylan Andrews",LOSS,KO/TKO,3,1:32
Papy Abedi,WEIGHT: 185 lbs.,"Papy Abedi
 
 Besam Yousef",WIN,S-DEC,3,5:00
Papy Abedi,WEIGHT: 185 lbs.,"Papy Abedi
 
 James Head",LOSS,SUB,1,4:33
Papy Abedi,WEIGHT: 185 lbs.,"Papy Abedi
 
 Thiago Alves",LOSS,SUB,1,3:32
Ricardo Abreu,WEIGHT: 185 lbs.,,,,,
Ricardo Abreu,WEIGHT: 185 lbs.,"Ricardo Abreu
 
 Jake Collier",LOSS,S-DEC,3,5:00
Ricardo Abreu,WEIGHT: 185 lbs.,"Ricardo Abreu
 
 Wagner Silva",WIN,SUB,2,1:06
Klidson Abreu,WEIGHT: 205 lbs.,,,,,
Klidson Abreu,WEIGHT: 205 lbs.,"Klidson Abreu
 
 Jamahal Hill",NC,Overturned,1,1:51
Klidson Abreu,WEIGHT: 205 lbs.,"Klidson Abreu
 
 Shamil Gamzatov",LOSS,S-DEC,3,5:00
Klidson Abreu,WEIGHT: 205 lbs.,"Klidson Abreu
 
 Sam Alvey",WIN,U-DEC,3,5:00
Klidson Abreu,WEIGHT: 205 lbs.,"Klidson Abreu
 
 Magomed Ankalaev",LOSS,U-DEC,3,5:00
Daniel Acacio,WEIGHT: 180 lbs.,,,,,
Daniel Acacio,WEIGHT: 180 lbs.,"Daniel Acacio
 
 Rousimar Palhares",LOSS,SUB,1,1:22
Daniel Acacio,WEIGHT: 180 lbs.,"Daniel Acacio
 
 Akihiro Gono",LOSS,U-DEC,2,5:00
Daniel Acacio,WEIGHT: 180 lbs.,"Daniel Acacio
 
 Kazuo Misaki",WIN,U-DEC,2,5:00
Daniel Acacio,WEIGHT: 180 lbs.,"Daniel Acacio
 
 Daiju Takase",WIN,KO/TKO,2,3:34
John Adajar,WEIGHT: 170 lbs.,,,,,
John Adajar,WEIGHT: 170 lbs.,"John Adajar
 
 HanSeul Kim",LOSS,SUB,1,4:37
Scott Adams,WEIGHT: 225 lbs.,,,,,
Scott Adams,WEIGHT: 225 lbs.,"Scott Adams
 
 Ian Freeman",WIN,SUB,1,3:09
Juan Adams,WEIGHT: 265 lbs.,,,,,
Juan Adams,WEIGHT: 265 lbs.,"Juan Adams
 
 Justin Tafa",LOSS,KO/TKO,1,1:59
Juan Adams,WEIGHT: 265 lbs.,"Juan Adams
 
 Greg Hardy",LOSS,KO/TKO,1,0:45
Juan Adams,WEIGHT: 265 lbs.,"Juan Adams
 
 Arjan Bhullar",LOSS,U-DEC,3,5:00
Juan Adams,WEIGHT: 265 lbs.,"Juan Adams
 
 Chris de la Rocha",WIN,KO/TKO,3,0:58
Juan Adams,WEIGHT: 265 lbs.,"Juan Adams
 
 Shawn Teed",WIN,KO/TKO,1,4:17
Anthony Adams,WEIGHT: 185 lbs.,,,,,
Anthony Adams,WEIGHT: 185 lbs.,"Anthony Adams
 
 Impa Kasanganay",LOSS,U-DEC,3,5:00
Anthony Adams,WEIGHT: 185 lbs.,"Anthony Adams
 
 Chibwikem Onyenegecha",LOSS,S-DEC,3,5:00
Zarrukh Adashev,WEIGHT: 125 lbs.,,,,,
Zarrukh Adashev,WEIGHT: 125 lbs.,"Zarrukh Adashev
 
 Ode Osbourne",LOSS,KO/TKO,1,1:01
Zarrukh Adashev,WEIGHT: 125 lbs.,"Zarrukh Adashev
 
 Ryan Benoit",WIN,U-DEC,3,5:00
Zarrukh Adashev,WEIGHT: 125 lbs.,"Zarrukh Adashev
 
 Sumudaerji",LOSS,U-DEC,3,5:00
Zarrukh Adashev,WEIGHT: 125 lbs.,"Zarrukh Adashev
 
 Tyson Nam",LOSS,KO/TKO,1,0:32
Israel Adesanya,WEIGHT: 185 lbs.,,,,,
Israel Adesanya,WEIGHT: 185 lbs.,"Israel Adesanya
 
 Alex Pereira",WIN,KO/TKO,2,4:21
Israel Adesanya,WEIGHT: 185 lbs.,"Israel Adesanya
 
 Alex Pereira",LOSS,KO/TKO,5,2:01
Israel Adesanya,WEIGHT: 185 lbs.,"Israel Adesanya
 
 Jared Cannonier",WIN,U-DEC,5,5:00
Israel Adesanya,WEIGHT: 185 lbs.,"Israel Adesanya
 
 Robert Whittaker",WIN,U-DEC,5,5:00
Israel Adesanya,WEIGHT: 185 lbs.,"Israel Adesanya
 
 Marvin Vettori",WIN,U-DEC,5,5:00
Israel Adesanya,WEIGHT: 185 lbs.,"Israel Adesanya
 
 Jan Blachowicz",LOSS,U-DEC,5,5:00
Israel Adesanya,WEIGHT: 185 lbs.,"Israel Adesanya
 
 Paulo Costa",WIN,KO/TKO,2,3:59
Israel Adesanya,WEIGHT: 185 lbs.,"Israel Adesanya
 
 Yoel Romero",WIN,U-DEC,5,5:00
Israel Adesanya,WEIGHT: 185 lbs.,"Israel Adesanya
 
 Robert Whittaker",WIN,KO/TKO,2,3:33
Israel Adesanya,WEIGHT: 185 lbs.,"Israel Adesanya
 
 Kelvin Gastelum",WIN,U-DEC,5,5:00
Israel Adesanya,WEIGHT: 185 lbs.,"Israel Adesanya
 
 Anderson Silva",WIN,U-DEC,3,5:00
Israel Adesanya,WEIGHT: 185 lbs.,"Israel Adesanya
 
 Derek Brunson",WIN,KO/TKO,1,4:51
Israel Adesanya,WEIGHT: 185 lbs.,"Israel Adesanya
 
 Brad Tavares",WIN,U-DEC,5,5:00
Israel Adesanya,WEIGHT: 185 lbs.,"Israel Adesanya
 
 Marvin Vettori",WIN,S-DEC,3,5:00
Israel Adesanya,WEIGHT: 185 lbs.,"Israel Adesanya
 
 Rob Wilkinson",WIN,KO/TKO,2,3:37
Sam Adkins,WEIGHT: 225 lbs.,,,,,
Sam Adkins,WEIGHT: 225 lbs.,"Sam Adkins
 
 David Abbott",LOSS,SUB,1,2:06
Sam Adkins,WEIGHT: 225 lbs.,"Sam Adkins
 
 Felix Lee Mitchell",WIN,U-DEC,2,3:00
Sam Adkins,WEIGHT: 225 lbs.,"Sam Adkins
 
 Don Frye",LOSS,KO/TKO,1,0:48
Sam Adkins,WEIGHT: 225 lbs.,"Sam Adkins
 
 Keith Mielke",WIN,KO/TKO,1,0:50
Nick Agallar,WEIGHT: 155 lbs.,,,,,
Nick Agallar,WEIGHT: 155 lbs.,"Nick Agallar
 
 Yves Edwards",LOSS,KO/TKO,2,2:14
Mariya Agapova,WEIGHT: 125 lbs.,,,,,
Mariya Agapova,WEIGHT: 125 lbs.,"Mariya Agapova
 
 Gillian Robertson",LOSS,SUB,2,2:19
Mariya Agapova,WEIGHT: 125 lbs.,"Mariya Agapova
 
 Maryna Moroz",LOSS,SUB,2,3:27
Mariya Agapova,WEIGHT: 125 lbs.,"Mariya Agapova
 
 Sabina Mazo",WIN,SUB,3,0:53
Mariya Agapova,WEIGHT: 125 lbs.,"Mariya Agapova
 
 Shana Dobson",LOSS,KO/TKO,2,1:38
Mariya Agapova,WEIGHT: 125 lbs.,"Mariya Agapova
 
 Hannah Cifers",WIN,SUB,1,2:42
Mariya Agapova,WEIGHT: 125 lbs.,"Mariya Agapova
 
 Tracy Cortez",LOSS,U-DEC,3,5:00
Marcelo Aguiar,WEIGHT: 170 lbs.,,,,,
Marcelo Aguiar,WEIGHT: 170 lbs.,"Marcelo Aguiar
 
 Matt Hughes",LOSS,KO/TKO,1,4:34
Fabio Aguiar,WEIGHT: 185 lbs.,,,,,
Edwin Aguilar,WEIGHT: 185 lbs.,,,,,
Edwin Aguilar,WEIGHT: 185 lbs.,"Edwin Aguilar
 
 Martin Kampmann",LOSS,KO/TKO,1,2:43
Jessica Aguilar,WEIGHT: 115 lbs.,,,,,
Jessica Aguilar,WEIGHT: 115 lbs.,"Jessica Aguilar
 
 Marina Rodriguez",LOSS,U-DEC,3,5:00
Jessica Aguilar,WEIGHT: 115 lbs.,"Jessica Aguilar
 
 Zhang Weili",LOSS,SUB,1,3:41
Jessica Aguilar,WEIGHT: 115 lbs.,"Jessica Aguilar
 
 Jodie Esquibel",WIN,U-DEC,3,5:00
Jessica Aguilar,WEIGHT: 115 lbs.,"Jessica Aguilar
 
 Cortney Casey",LOSS,U-DEC,3,5:00
Jessica Aguilar,WEIGHT: 115 lbs.,"Jessica Aguilar
 
 Claudia Gadelha",LOSS,U-DEC,3,5:00
Kevin Aguilar,WEIGHT: 155 lbs.,,,,,
Kevin Aguilar,WEIGHT: 155 lbs.,"Kevin Aguilar
 
 Tucker Lutz",LOSS,U-DEC,3,5:00
Kevin Aguilar,WEIGHT: 155 lbs.,"Kevin Aguilar
 
 Charles Rosa",LOSS,S-DEC,3,5:00
Kevin Aguilar,WEIGHT: 155 lbs.,"Kevin Aguilar
 
 Zubaira Tukhugov",LOSS,KO/TKO,1,3:21
Kevin Aguilar,WEIGHT: 155 lbs.,"Kevin Aguilar
 
 Dan Ige",LOSS,U-DEC,3,5:00
Kevin Aguilar,WEIGHT: 155 lbs.,"Kevin Aguilar
 
 Enrique Barzola",WIN,U-DEC,3,5:00
Kevin Aguilar,WEIGHT: 155 lbs.,"Kevin Aguilar
 
 Ricky Glenn",WIN,U-DEC,3,5:00
Kevin Aguilar,WEIGHT: 155 lbs.,"Kevin Aguilar
 
 Joey Gomez",WIN,S-DEC,3,5:00
Jesus Aguilar,WEIGHT: 125 lbs.,,,,,
Jesus Aguilar,WEIGHT: 125 lbs.,"Jesus Aguilar
 
 Tatsuro Taira",LOSS,SUB,1,4:20
Jesus Aguilar,WEIGHT: 125 lbs.,"Jesus Aguilar
 
 Erisson Ferreira",WIN,SUB,3,1:56
Christian Aguilera,WEIGHT: 170 lbs.,,,,,
Christian Aguilera,WEIGHT: 170 lbs.,"Christian Aguilera
 
 Carlston Harris",LOSS,SUB,1,2:52
Christian Aguilera,WEIGHT: 170 lbs.,"Christian Aguilera
 
 Sean Brady",LOSS,SUB,2,1:47
Christian Aguilera,WEIGHT: 170 lbs.,"Christian Aguilera
 
 Anthony Ivy",WIN,KO/TKO,1,0:59
Nick Aguirre,WEIGHT: 145 lbs.,,,,,
Nick Aguirre,WEIGHT: 145 lbs.,"Nick Aguirre
 
 Dan Argueta",LOSS,U-DEC,3,5:00
Mike Aina,WEIGHT: 155 lbs.,,,,,
Mike Aina,WEIGHT: 155 lbs.,"Mike Aina
 
 Billy Evangelista",NC,Overturned,2,3:42
Mike Aina,WEIGHT: 155 lbs.,"Mike Aina
 
 Nick Diaz",LOSS,S-DEC,3,5:00
Ashiek Ajim,WEIGHT: 135 lbs.,,,,,
Ashiek Ajim,WEIGHT: 135 lbs.,"Ashiek Ajim
 
 Mateus Mendonca",LOSS,KO/TKO,1,0:48
Hitomi Akano,WEIGHT: 135 lbs.,,,,,
Hitomi Akano,WEIGHT: 135 lbs.,"Hitomi Akano
 
 Sara McMann",LOSS,U-DEC,3,5:00
Hitomi Akano,WEIGHT: 135 lbs.,"Hitomi Akano
 
 Miesha Tate",LOSS,U-DEC,3,3:00
Hitomi Akano,WEIGHT: 135 lbs.,"Hitomi Akano
 
 Carina Damm",WIN,SUB,2,1:48
Hitomi Akano,WEIGHT: 135 lbs.,"Hitomi Akano
 
 Cristiane Justino",LOSS,KO/TKO,3,0:35
Omari Akhmedov,WEIGHT: 185 lbs.,,,,,
Omari Akhmedov,WEIGHT: 185 lbs.,"Omari Akhmedov
 
 Brad Tavares",LOSS,S-DEC,3,5:00
Omari Akhmedov,WEIGHT: 185 lbs.,"Omari Akhmedov
 
 Tom Breese",WIN,SUB,2,1:41
Omari Akhmedov,WEIGHT: 185 lbs.,"Omari Akhmedov
 
 Chris Weidman",LOSS,U-DEC,3,5:00
Omari Akhmedov,WEIGHT: 185 lbs.,"Omari Akhmedov
 
 Ian Heinisch",WIN,U-DEC,3,5:00
Omari Akhmedov,WEIGHT: 185 lbs.,"Omari Akhmedov
 
 Zak Cummings",WIN,U-DEC,3,5:00
Omari Akhmedov,WEIGHT: 185 lbs.,"Omari Akhmedov
 
 Tim Boetsch",WIN,U-DEC,3,5:00
Omari Akhmedov,WEIGHT: 185 lbs.,"Omari Akhmedov
 
 Marvin Vettori",DRAW,M-DEC,3,5:00
Omari Akhmedov,WEIGHT: 185 lbs.,"Omari Akhmedov
 
 Abdul Razak Alhassan",WIN,S-DEC,3,5:00
Omari Akhmedov,WEIGHT: 185 lbs.,"Omari Akhmedov
 
 Kyle Noke",WIN,U-DEC,3,5:00
Omari Akhmedov,WEIGHT: 185 lbs.,"Omari Akhmedov
 
 Elizeu Zaleski dos Santos",LOSS,KO/TKO,3,3:03
Omari Akhmedov,WEIGHT: 185 lbs.,"Omari Akhmedov
 
 Sergio Moraes",LOSS,KO/TKO,3,2:18
Omari Akhmedov,WEIGHT: 185 lbs.,"Omari Akhmedov
 
 Brian Ebersole",WIN,KO/TKO,1,5:00
Omari Akhmedov,WEIGHT: 185 lbs.,"Omari Akhmedov
 
 Mats Nilsson",WIN,U-DEC,3,5:00
Omari Akhmedov,WEIGHT: 185 lbs.,"Omari Akhmedov
 
 Gunnar Nelson",LOSS,SUB,1,4:36
Omari Akhmedov,WEIGHT: 185 lbs.,"Omari Akhmedov
 
 Thiago Perpetuo",WIN,KO/TKO,1,3:31
Yoshihiro Akiyama,WEIGHT: 170 lbs.,,,,,
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Alberto Mina",LOSS,S-DEC,3,5:00
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Amir Sadollah",WIN,U-DEC,3,5:00
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Jake Shields",LOSS,U-DEC,3,5:00
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Vitor Belfort",LOSS,KO/TKO,1,1:52
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Michael Bisping",LOSS,U-DEC,3,5:00
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Chris Leben",LOSS,SUB,3,4:40
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Alan Belcher",WIN,S-DEC,3,5:00
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Masanori Tonooka",WIN,SUB,1,6:26
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Katsuyori Shibata",WIN,SUB,1,6:34
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Kazuo Misaki",NC,Overturned,1,7:48
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Denis Kang",WIN,KO/TKO,1,4:45
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Kazushi Sakuraba",NC,Overturned,1,5:37
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Melvin Manhoef",WIN,SUB,1,1:58
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Kestutis Smirnovas",WIN,KO/TKO,1,3:01
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Taiei Kin",WIN,SUB,1,2:01
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Katsuhiko Nagata",WIN,KO/TKO,1,2:25
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Tokimitsu Ishizawa",WIN,SUB,2,1:41
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Masakatsu Okuda",WIN,KO/TKO,1,3:31
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Michael Lerma",WIN,KO/TKO,1,2:47
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Carl Toomey",WIN,SUB,1,0:59
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Jerome LeBanner",LOSS,KO/TKO,1,2:24
Yoshihiro Akiyama,WEIGHT: 170 lbs.,"Yoshihiro Akiyama
 
 Francois Botha",WIN,SUB,1,1:54
Rostem Akman,WEIGHT: 170 lbs.,,,,,
Rostem Akman,WEIGHT: 170 lbs.,"Rostem Akman
 
 Jake Matthews",LOSS,U-DEC,3,5:00
Rostem Akman,WEIGHT: 170 lbs.,"Rostem Akman
 
 Sergey Khandozhko",LOSS,U-DEC,3,5:00
Razak Al-Hassan,WEIGHT: 205 lbs.,,,,,
Razak Al-Hassan,WEIGHT: 205 lbs.,"Razak Al-Hassan
 
 Kyle Kingsbury",LOSS,S-DEC,3,5:00
Razak Al-Hassan,WEIGHT: 205 lbs.,"Razak Al-Hassan
 
 Steve Cantwell",LOSS,SUB,1,4:04
Mostapha Al-Turk,WEIGHT: 245 lbs.,,,,,
Mostapha Al-Turk,WEIGHT: 245 lbs.,"Mostapha Al-Turk
 
 Jon Madsen",LOSS,U-DEC,3,5:00
Mostapha Al-Turk,WEIGHT: 245 lbs.,"Mostapha Al-Turk
 
 Mirko Filipovic",LOSS,KO/TKO,1,3:06
Mostapha Al-Turk,WEIGHT: 245 lbs.,"Mostapha Al-Turk
 
 Cheick Kongo",LOSS,KO/TKO,1,4:37
Herdem Alacabek,WEIGHT: 205 lbs.,,,,,
Herdem Alacabek,WEIGHT: 205 lbs.,"Herdem Alacabek
 
 William Knight",LOSS,KO/TKO,3,4:34
Javi Alanis,WEIGHT: 135 lbs.,,,,,
Javi Alanis,WEIGHT: 135 lbs.,"Javi Alanis
 
 Adam Antolin",LOSS,KO/TKO,2,1:41
Alatengheili,WEIGHT: 135 lbs.,,,,,
Alatengheili,WEIGHT: 135 lbs.,"Alatengheili
 
 Chad Anheliger",WIN,U-DEC,3,5:00
Alatengheili,WEIGHT: 135 lbs.,"Alatengheili
 
 Kevin Croom",WIN,KO/TKO,1,0:47
Alatengheili,WEIGHT: 135 lbs.,"Alatengheili
 
 Gustavo Lopez",DRAW,U-DEC,3,5:00
Alatengheili,WEIGHT: 135 lbs.,"Alatengheili
 
 Casey Kenney",LOSS,U-DEC,3,5:00
Alatengheili,WEIGHT: 135 lbs.,"Alatengheili
 
 Ryan Benoit",WIN,S-DEC,3,5:00
Alatengheili,WEIGHT: 135 lbs.,"Alatengheili
 
 Batgerel Danaa",WIN,U-DEC,3,5:00
Amir Albazi,WEIGHT: 125 lbs.,,,,,
Amir Albazi,WEIGHT: 125 lbs.,"Amir Albazi
 
 Alessandro Costa",WIN,KO/TKO,3,2:13
Amir Albazi,WEIGHT: 125 lbs.,"Amir Albazi
 
 Francisco Figueiredo",WIN,SUB,1,4:34
Amir Albazi,WEIGHT: 125 lbs.,"Amir Albazi
 
 Zhalgas Zhumagulov",WIN,U-DEC,3,5:00
Amir Albazi,WEIGHT: 125 lbs.,"Amir Albazi
 
 Malcolm Gordon",WIN,SUB,1,4:42
Brett Albee,WEIGHT: 225 lbs.,,,,,
Brett Albee,WEIGHT: 225 lbs.,"Brett Albee
 
 Virgil Zwicker",LOSS,KO/TKO,1,1:46
John Albert,WEIGHT: 135 lbs.,,,,,
John Albert,WEIGHT: 135 lbs.,"John Albert
 
 Yaotzin Meza",LOSS,SUB,2,2:49
John Albert,WEIGHT: 135 lbs.,"John Albert
 
 Scott Jorgensen",LOSS,SUB,1,4:59
John Albert,WEIGHT: 135 lbs.,"John Albert
 
 Erik Perez",LOSS,SUB,1,4:18
John Albert,WEIGHT: 135 lbs.,"John Albert
 
 Ivan Menjivar",LOSS,SUB,1,3:45
John Albert,WEIGHT: 135 lbs.,"John Albert
 
 Dustin Pague",WIN,KO/TKO,1,1:09
Junior Albini,WEIGHT: 264 lbs.,,,,,
Junior Albini,WEIGHT: 264 lbs.,"Junior Albini
 
 Maurice Greene",LOSS,KO/TKO,1,3:38
Junior Albini,WEIGHT: 264 lbs.,"Junior Albini
 
 Jairzinho Rozenstruik",LOSS,KO/TKO,2,0:54
Junior Albini,WEIGHT: 264 lbs.,"Junior Albini
 
 Aleksei Oleinik",LOSS,SUB,1,1:45
Junior Albini,WEIGHT: 264 lbs.,"Junior Albini
 
 Andrei Arlovski",LOSS,U-DEC,3,5:00
Junior Albini,WEIGHT: 264 lbs.,"Junior Albini
 
 Timothy Johnson",WIN,KO/TKO,1,2:51
Wes Albritton,WEIGHT: 188 lbs.,,,,,
Wes Albritton,WEIGHT: 188 lbs.,"Wes Albritton
 
 Tito Ortiz",LOSS,KO/TKO,1,0:31
Aleksandra Albu,WEIGHT: 115 lbs.,,,,,
Aleksandra Albu,WEIGHT: 115 lbs.,"Aleksandra Albu
 
 Loma Lookboonmee",LOSS,S-DEC,3,5:00
Aleksandra Albu,WEIGHT: 115 lbs.,"Aleksandra Albu
 
 Emily Whitmire",LOSS,SUB,1,1:01
Aleksandra Albu,WEIGHT: 115 lbs.,"Aleksandra Albu
 
 Kailin Curran",WIN,U-DEC,3,5:00
Aleksandra Albu,WEIGHT: 115 lbs.,"Aleksandra Albu
 
 Izabela Badurek",WIN,SUB,2,3:34
Israel Albuquerque,WEIGHT: 185 lbs.,,,,,
Israel Albuquerque,WEIGHT: 185 lbs.,"Israel Albuquerque
 
 Anderson Silva",LOSS,KO/TKO,1,6:17
Juan Alcain,WEIGHT: --,,,,,
Juan Alcain,WEIGHT: --,"Juan Alcain
 
 Mario Rivera",WIN,U-DEC,3,3:00
Iuri Alcantara,WEIGHT: 135 lbs.,,,,,
Iuri Alcantara,WEIGHT: 135 lbs.,"Iuri Alcantara
 
 Cory Sandhagen",LOSS,KO/TKO,2,1:01
Iuri Alcantara,WEIGHT: 135 lbs.,"Iuri Alcantara
 
 Joe Soto",WIN,KO/TKO,1,1:06
