Full Name,Weight,Matchup,Outcome,Method,Round,Time,Method Summary,Match Summary,Predicted Match Summary
Brad Pickett,135 lbs.,Ian McCall,LOSS,U-DEC,3.0,5:00,Decision,Ian McCall Decision Win,Brad Pickett Decision Win
Brad Tavares,185 lbs.,Riki Fukuda,WIN,U-DEC,3.0,5:00,Decision,Brad Tavares Decision Win,Brad Tavares Decision Win
Brandon Davis,135 lbs.,Giga Chikadze,LOSS,S-DEC,3.0,5:00,Decision,Giga Chikadze Decision Win,Giga Chikadze Decision Win
Brandon Moreno,125 lbs.,Deiveson Figueiredo,WIN,SUB ,3.0,2:26,Submission,Brandon Moreno Submission Win,Deiveson Figueiredo Decision Win
Brandon Vera,230 lbs.,Krzysztof Soszynski,WIN,U-DEC,3.0,5:00,Decision,Brandon Vera Decision Win,Brandon Vera KO Win
Brendan Allen,185 lbs.,Jacob Malkoun,WIN,U-DEC,3.0,5:00,Decision,Brendan Allen Decision Win,Jacob Malkoun Decision Win
Brendan Schaub,245 lbs.,Matt Mitrione,WIN,SUB,1.0,4:06,Submission,Brendan Schaub Submission Win,Matt Mitrione KO Win
Brian Bowles,135 lbs.,Takeya Mizugaki,WIN,U-DEC,3.0,5:00,Decision,Brian Bowles Decision Win,Brian Bowles Submission Win
Brian Kelleher,135 lbs.,Domingo Pilarte,WIN,U-DEC,3.0,5:00,Decision,Brian Kelleher Decision Win,Brian Kelleher Decision Win
Brian Ortega,145 lbs.,Chan Sung Jung,WIN,U-DEC,5.0,5:00,Decision,Brian Ortega Decision Win,Brian Ortega KO Win
Brian Stann,205 lbs.,Chael Sonnen,LOSS,SUB,2.0,3:51,Submission,Chael Sonnen Submission Win,Brian Stann KO Win
Brock Larson,170 lbs.,Mike Pyle,WIN,SUB ,1.0,3:06,Submission,Brock Larson Submission Win,Brock Larson KO Win
Bruno Silva,125 lbs.,JP Buys,WIN,KO/TKO ,2.0,2:56,KO,Bruno Silva KO Win,Bruno Silva KO Win
Bryan Barberena,170 lbs.,Matt Brown,WIN,S-DEC ,3.0,5:00,Decision,Bryan Barberena Decision Win,Matt Brown KO Win
Bryan Caraway,135 lbs.,Eddie Wineland,WIN,U-DEC,3.0,5:00,Decision,Bryan Caraway Decision Win,Eddie Wineland Decision Win
CB Dollaway,185 lbs.,Nate Marquardt,LOSS,KO/TKO,2.0,0:28,KO,Nate Marquardt KO Win,CB Dollaway Decision Win
Cain Velasquez,240 lbs.,Junior Dos Santos,WIN,KO/TKO,5.0,3:09,KO,Cain Velasquez KO Win,Cain Velasquez KO Win
Calvin Kattar,145 lbs.,Giga Chikadze,WIN,U-DEC ,5.0,5:00,Decision,Calvin Kattar Decision Win,Giga Chikadze Decision Win
Caol Uno,155 lbs.,Gleison Tibau,LOSS,KO/TKO,1.0,4:13,KO,Gleison Tibau KO Win,Gleison Tibau Decision Win
Carla Esparza,115 lbs.,Marina Rodriguez,WIN,S-DEC,3.0,5:00,Decision,Carla Esparza Decision Win,Marina Rodriguez Decision Win
Carlos Condit,170 lbs.,Dong Hyun Kim,WIN,KO/TKO ,1.0,2:58,KO,Carlos Condit KO Win,Dong Hyun Kim Decision Win
Carlos Newton,170 lbs.,Renzo Gracie,WIN,S-DEC,2.0,5:00,Decision,Carlos Newton Decision Win,Renzo Gracie Decision Win
Casey Kenney,135 lbs.,Nathaniel Wood,WIN,U-DEC ,3.0,5:00,Decision,Casey Kenney Decision Win,Nathaniel Wood Decision Win
Cezar Ferreira,185 lbs.,Nate Marquardt,WIN,S-DEC,3.0,5:00,Decision,Cezar Ferreira Decision Win,Cezar Ferreira Decision Win
Chad Laprise,170 lbs.,Galore Bofando,WIN,KO/TKO,1.0,4:10,KO,Chad Laprise KO Win,Galore Bofando KO Win
Chad Mendes,145 lbs.,Nik Lentz,WIN,U-DEC,3.0,5:00,Decision,Chad Mendes Decision Win,Chad Mendes Decision Win
Chael Sonnen,205 lbs.,Anderson Silva,LOSS,KO/TKO,2.0,1:55,KO,Anderson Silva KO Win,Anderson Silva KO Win
Chan Sung Jung,145 lbs.,Brian Ortega,LOSS,U-DEC,5.0,5:00,Decision,Brian Ortega Decision Win,Brian Ortega KO Win
Charles Jourdain,145 lbs.,Lando Vannata,WIN,SUB,1.0,2:32,Submission,Charles Jourdain Submission Win,Charles Jourdain Decision Win
Charles Oliveira,155 lbs.,Nik Lentz,NC,Overturned ,2.0,1:48,Submission,Nik Lentz Submission Win,Charles Oliveira Submission Win
Charles Rosa,145 lbs.,Damon Jackson,LOSS,U-DEC,3.0,5:00,Decision,Damon Jackson Decision Win,Damon Jackson Decision Win
Charlie Brenneman,155 lbs.,Beneil Dariush,LOSS,SUB,1.0,1:45,Submission,Beneil Dariush Submission Win,Beneil Dariush KO Win
Charlie Valencia,135 lbs.,Akitoshi Tamura,WIN,S-DEC,3.0,5:00,Decision,Charlie Valencia Decision Win,Charlie Valencia Decision Win
Chas Skelly,145 lbs.,Bobby Moffett,NC,Overturned,2.0,2:43,Submission,Bobby Moffett Submission Win,Chas Skelly Decision Win
Chase Sherman,250 lbs.,Jake Collier,LOSS,SUB,1.0,2:26,Submission,Jake Collier Submission Win,Jake Collier Decision Win
Cheick Kongo,240 lbs.,Paul Buentello,WIN,KO/TKO,3.0,1:16,KO,Cheick Kongo KO Win,Cheick Kongo KO Win
Chris Camozzi,185 lbs.,Vitor Miranda,WIN,U-DEC,3.0,5:00,Decision,Chris Camozzi Decision Win,Chris Camozzi Decision Win
Chris Cariaso,125 lbs.,Jussier Formiga,LOSS,U-DEC,3.0,5:00,Decision,Jussier Formiga Decision Win,Chris Cariaso Decision Win
Chris Gutierrez,135 lbs.,Batgerel Danaa,WIN,KO/TKO ,2.0,2:34,KO,Chris Gutierrez KO Win,Chris Gutierrez Decision Win
Chris Leben,185 lbs.,Jason MacDonald,LOSS,SUB,2.0,4:03,Submission,Jason MacDonald Submission Win,Chris Leben KO Win
Chris Lytle,170 lbs.,Tiki Ghosn,WIN,SUB,2.0,1:55,Submission,Chris Lytle Submission Win,Chris Lytle Submission Win
Chris Weidman,185 lbs.,Jacare Souza,LOSS,KO/TKO ,3.0,2:46,KO,Jacare Souza KO Win,Jacare Souza KO Win
Christos Giagos,155 lbs.,Sean Soriano,WIN,SUB ,2.0,0:59,Submission,Christos Giagos Submission Win,Christos Giagos Submission Win
Chuck Liddell,205 lbs.,Amar Suloev,WIN,U-DEC,3.0,5:00,Decision,Chuck Liddell Decision Win,Chuck Liddell KO Win
Ciryl Gane,245 lbs.,Francis Ngannou,LOSS,U-DEC,5.0,5:00,Decision,Francis Ngannou Decision Win,Francis Ngannou KO Win
Claudia Gadelha,115 lbs.,Randa Markos,WIN,U-DEC,3.0,5:00,Decision,Claudia Gadelha Decision Win,Claudia Gadelha Decision Win
Clay Guida,155 lbs.,Claudio Puelles,LOSS,SUB,1.0,3:01,Submission,Claudio Puelles Submission Win,Claudio Puelles Submission Win
Cody Garbrandt,135 lbs.,Rob Font,LOSS,U-DEC,5.0,5:00,Decision,Rob Font Decision Win,Rob Font KO Win
Cody Stamann,135 lbs.,Said Nurmagomedov,LOSS,SUB,1.0,0:47,Submission,Said Nurmagomedov Submission Win,Cody Stamann Decision Win
Colby Covington,170 lbs.,Kamaru Usman,LOSS,KO/TKO ,5.0,4:10,KO,Kamaru Usman KO Win,Kamaru Usman Decision Win
Cole Miller,145 lbs.,Max Holloway,LOSS,U-DEC,3.0,5:00,Decision,Max Holloway Decision Win,Max Holloway Decision Win
Conor McGregor,155 lbs.,Khabib Nurmagomedov,LOSS,SUB,4.0,3:03,Submission,Khabib Nurmagomedov Submission Win,Conor McGregor KO Win
Constantinos Philippou,185 lbs.,Luke Rockhold,LOSS,KO/TKO,1.0,2:31,KO,Luke Rockhold KO Win,Constantinos Philippou KO Win
Corey Anderson,205 lbs.,Glover Teixeira,WIN,U-DEC,3.0,5:00,Decision,Corey Anderson Decision Win,Glover Teixeira KO Win
Cortney Casey,125 lbs.,Gillian Robertson,LOSS,SUB,3.0,4:36,Submission,Gillian Robertson Submission Win,Gillian Robertson Decision Win
Cory Sandhagen,135 lbs.,Petr Yan,LOSS,U-DEC ,5.0,5:00,Decision,Petr Yan Decision Win,Petr Yan Decision Win
Court McGee,170 lbs.,Carlos Condit,LOSS,U-DEC,3.0,5:00,Decision,Carlos Condit Decision Win,Court McGee Decision Win
Cristiane Justino,145 lbs.,Holly Holm,WIN,U-DEC ,5.0,5:00,Decision,Cristiane Justino Decision Win,Cristiane Justino KO Win
Cub Swanson,135 lbs.,Dustin Poirier,WIN,U-DEC,3.0,5:00,Decision,Cub Swanson Decision Win,Dustin Poirier KO Win
Cung Le,185 lbs.,Patrick Cote,WIN,U-DEC,3.0,5:00,Decision,Cung Le Decision Win,Cung Le KO Win
Curtis Blaydes,265 lbs.,Derrick Lewis,LOSS,KO/TKO,2.0,1:26,KO,Derrick Lewis KO Win,Curtis Blaydes KO Win
Cynthia Calvillo,125 lbs.,Andrea Lee,LOSS,KO/TKO,2.0,5:00,KO,Andrea Lee KO Win,Cynthia Calvillo Decision Win
DaMarques Johnson,170 lbs.,John Maguire,LOSS,SUB,2.0,4:40,Submission,John Maguire Submission Win,DaMarques Johnson Decision Win
Daijiro Matsui,200 lbs.,Quinton Jackson,WIN,DQ,1.0,0:14,Submission,Daijiro Matsui Submission Win,Quinton Jackson Decision Win
Daiju Takase,170 lbs.,Chris Brennan,WIN,U-DEC,2.0,5:00,Decision,Daiju Takase Decision Win,Chris Brennan Submission Win
Damon Jackson,145 lbs.,Dan Argueta,WIN,U-DEC,3.0,5:00,Decision,Damon Jackson Decision Win,Damon Jackson Decision Win
Dan Hardy,170 lbs.,Chris Lytle,LOSS,SUB ,3.0,4:16,Submission,Chris Lytle Submission Win,Dan Hardy Decision Win
Dan Henderson,185 lbs.,Tim Boetsch,WIN,KO/TKO,1.0,0:28,KO,Dan Henderson KO Win,Dan Henderson KO Win
Dan Hooker,155 lbs.,Nasrat Haqparast,WIN,U-DEC,3.0,5:00,Decision,Dan Hooker Decision Win,Nasrat Haqparast Decision Win
Dan Ige,145 lbs.,Chan Sung Jung,LOSS,U-DEC,5.0,5:00,Decision,Chan Sung Jung Decision Win,Dan Ige KO Win
Dan Miller,185 lbs.,Rousimar Palhares,LOSS,U-DEC,3.0,5:00,Decision,Rousimar Palhares Decision Win,Rousimar Palhares Submission Win
Dan Severn,250 lbs.,Mark Coleman,LOSS,SUB,1.0,2:57,Submission,Mark Coleman Submission Win,Dan Severn Submission Win
Daniel Cormier,235 lbs.,Jason Riley,WIN,KO/TKO,1.0,1:02,KO,Daniel Cormier KO Win,Daniel Cormier KO Win
Daniel Kelly,185 lbs.,Derek Brunson,LOSS,KO/TKO,1.0,1:16,KO,Derek Brunson KO Win,Daniel Kelly Decision Win
Daniel Pineda,145 lbs.,Cub Swanson,LOSS,KO/TKO,2.0,1:52,KO,Cub Swanson KO Win,Daniel Pineda Submission Win
Daniel Rodriguez,170 lbs.,Kevin Lee,WIN,U-DEC,3.0,5:00,Decision,Daniel Rodriguez Decision Win,Daniel Rodriguez Decision Win
Danny Castillo,155 lbs.,Phil Cardella,WIN,S-DEC,3.0,5:00,Decision,Danny Castillo Decision Win,Danny Castillo Decision Win
Danny Roberts,170 lbs.,Ramazan Emeev,WIN,S-DEC,3.0,5:00,Decision,Danny Roberts Decision Win,Ramazan Emeev Decision Win
Daron Cruickshank,155 lbs.,Beneil Dariush,LOSS,SUB,2.0,2:38,Submission,Beneil Dariush Submission Win,Beneil Dariush Decision Win
Darren Elkins,145 lbs.,Jeremy Stephens,LOSS,U-DEC,3.0,5:00,Decision,Jeremy Stephens Decision Win,Darren Elkins Decision Win
Darren Stewart,205 lbs.,Kevin Holland,LOSS,S-DEC,3.0,5:00,Decision,Kevin Holland Decision Win,Kevin Holland Decision Win
Darren Till,185 lbs.,Robert Whittaker,LOSS,U-DEC,5.0,5:00,Decision,Robert Whittaker Decision Win,Darren Till Decision Win
Davey Grant,135 lbs.,Adrian Yanez,LOSS,S-DEC ,3.0,5:00,Decision,Adrian Yanez Decision Win,Adrian Yanez KO Win
David Abbott,265 lbs.,Sam Adkins,WIN,SUB,1.0,2:06,Submission,David Abbott Submission Win,Sam Adkins KO Win
Deiveson Figueiredo,125 lbs.,Brandon Moreno,DRAW,M-DEC ,5.0,5:00,Decision,Brandon Moreno Decision Win,Deiveson Figueiredo Decision Win
Demetrious Johnson,125 lbs.,Dominick Cruz,LOSS,U-DEC,5.0,5:00,Decision,Dominick Cruz Decision Win,Dominick Cruz Decision Win
Demian Maia,170 lbs.,Alexander Yakovlev,WIN,U-DEC,3.0,5:00,Decision,Demian Maia Decision Win,Demian Maia Decision Win
Denis Kang,185 lbs.,Xavier Foupa-Pokam,WIN,U-DEC,3.0,5:00,Decision,Denis Kang Decision Win,Denis Kang Decision Win
Dennis Bermudez,155 lbs.,Darren Elkins,LOSS,S-DEC,3.0,5:00,Decision,Darren Elkins Decision Win,Dennis Bermudez Decision Win
Dennis Hallman,155 lbs.,Karo Parisyan,WIN,KO/TKO,1.0,1:47,KO,Dennis Hallman KO Win,Karo Parisyan Decision Win
Dennis Siver,145 lbs.,Dale Hartt,WIN,SUB,1.0,3:23,Submission,Dennis Siver Submission Win,Dennis Siver Submission Win
Derek Brunson,185 lbs.,Roan Carneiro,WIN,KO/TKO,1.0,2:38,KO,Derek Brunson KO Win,Derek Brunson Decision Win
Derrick Lewis,260 lbs.,Gabriel Gonzaga,WIN,KO/TKO ,1.0,4:48,KO,Derrick Lewis KO Win,Derrick Lewis KO Win
Devin Clark,205 lbs.,Ion Cutelaba,LOSS,U-DEC,3.0,5:00,Decision,Ion Cutelaba Decision Win,Devin Clark Decision Win
Dhiego Lima,170 lbs.,Luke Jumeau,WIN,S-DEC,3.0,5:00,Decision,Dhiego Lima Decision Win,Luke Jumeau Decision Win
Diego Brandao,145 lbs.,Jimy Hettes,WIN,KO/TKO,1.0,5:00,KO,Diego Brandao KO Win,Jimy Hettes Submission Win
Diego Ferreira,155 lbs.,Beneil Dariush,LOSS,S-DEC ,3.0,5:00,Decision,Beneil Dariush Decision Win,Beneil Dariush Decision Win
Diego Nunes,145 lbs.,Dennis Siver,LOSS,U-DEC,3.0,5:00,Decision,Dennis Siver Decision Win,Diego Nunes Decision Win
Diego Sanchez,170 lbs.,Takanori Gomi,WIN,S-DEC,3.0,5:00,Decision,Diego Sanchez Decision Win,Takanori Gomi Decision Win
Dominick Cruz,135 lbs.,TJ Dillashaw,WIN,S-DEC ,5.0,5:00,Decision,Dominick Cruz Decision Win,Dominick Cruz Decision Win
Dominick Reyes,205 lbs.,Jan Blachowicz,LOSS,KO/TKO,2.0,4:36,KO,Jan Blachowicz KO Win,Jan Blachowicz KO Win
Don Frye,219 lbs.,Hidehiko Yoshida,LOSS,SUB,1.0,5:32,Submission,Hidehiko Yoshida Submission Win,Don Frye KO Win
Donald Cerrone,155 lbs.,Nate Diaz,LOSS,U-DEC ,3.0,5:00,Decision,Nate Diaz Decision Win,Donald Cerrone Decision Win
Dong Hyun Kim,170 lbs.,Erick Silva,WIN,KO/TKO ,2.0,3:01,KO,Dong Hyun Kim KO Win,Dong Hyun Kim Decision Win
Douglas Silva de Andrade,135 lbs.,Gaetano Pirrello,WIN,KO/TKO ,1.0,2:04,KO,Douglas Silva de Andrade KO Win,Douglas Silva de Andrade KO Win
Drew Dober,155 lbs.,Efrain Escudero,LOSS,SUB,1.0,0:54,Submission,Efrain Escudero Submission Win,Drew Dober Decision Win
Duane Ludwig,170 lbs.,Amir Sadollah,WIN,U-DEC,3.0,5:00,Decision,Duane Ludwig Decision Win,Duane Ludwig Decision Win
Dustin Hazelett,170 lbs.,Paul Daley,LOSS,KO/TKO,1.0,2:24,KO,Paul Daley KO Win,Paul Daley KO Win
Dustin Jacoby,205 lbs.,Da Woon Jung,WIN,KO/TKO ,1.0,3:13,KO,Dustin Jacoby KO Win,Dustin Jacoby Decision Win
Dustin Ortiz,125 lbs.,Hector Sandoval,WIN,KO/TKO ,1.0,0:15,KO,Dustin Ortiz KO Win,Hector Sandoval Decision Win
Dustin Poirier,155 lbs.,Conor McGregor,LOSS,KO/TKO,1.0,1:46,KO,Conor McGregor KO Win,Conor McGregor KO Win
Ed Herman,205 lbs.,Tim Credeur,WIN,KO/TKO,1.0,0:48,KO,Ed Herman KO Win,Tim Credeur KO Win
Eddie Alvarez,155 lbs.,Dustin Poirier,NC,CNC,2.0,4:02,Submission,Dustin Poirier Submission Win,Dustin Poirier KO Win
Eddie Wineland,135 lbs.,Rani Yahya,LOSS,SUB,1.0,1:07,Submission,Rani Yahya Submission Win,Rani Yahya Decision Win
Edson Barboza,145 lbs.,Terry Etim,WIN,KO/TKO ,3.0,2:02,KO,Edson Barboza KO Win,Edson Barboza Decision Win
Efrain Escudero,155 lbs.,Drew Dober,WIN,SUB,1.0,0:54,Submission,Efrain Escudero Submission Win,Drew Dober Decision Win
Elias Theodorou,185 lbs.,Trevor Smith,WIN,U-DEC,3.0,5:00,Decision,Elias Theodorou Decision Win,Elias Theodorou Decision Win
Elizeu Zaleski dos Santos,170 lbs.,Aleksei Kunchenko,WIN,U-DEC,3.0,5:00,Decision,Elizeu Zaleski dos Santos Decision Win,Elizeu Zaleski dos Santos Decision Win
Enrique Barzola,145 lbs.,Bobby Moffett,WIN,S-DEC,3.0,5:00,Decision,Enrique Barzola Decision Win,Enrique Barzola Decision Win
Erick Silva,170 lbs.,Nordine Taleb,LOSS,KO/TKO,2.0,1:34,KO,Nordine Taleb KO Win,Nordine Taleb Decision Win
Erik Koch,170 lbs.,Shane Campbell,WIN,SUB,2.0,3:02,Submission,Erik Koch Submission Win,Erik Koch KO Win
Eryk Anders,185 lbs.,Darren Stewart,WIN,U-DEC,3.0,5:00,Decision,Eryk Anders Decision Win,Darren Stewart Decision Win
